"personefullname","total_orders","avg_orders","total_spending","last_orderdate"
"Jasmine Brown","3","2573.45","7720.36","4406 days"
"Jasmine Brown","3","2573.45","7720.36","4406 days"
"Jasmine Davis","1","76.21","76.21","4201 days"
"Christy Tang","1","54.11","54.11","4211 days"
"Jill Miller","1","37.55","37.55","4223 days"
"Marshall Luo","1","32.03","32.03","4434 days"
"Jasmine Wilson","1","15.45","15.45","4325 days"
"Jill Moore","3","3006.33","9018.98","4308 days"
"Jill Moore","3","3006.33","9018.98","4308 days"
"Jill Moore","3","3006.33","9018.98","4308 days"
"Jasmine Taylor","2","3165.81","6331.62","4471 days"
"Jasmine Taylor","2","3165.81","6331.62","4471 days"
"Christy Luo","1","32.03","32.03","4223 days"
"Christy Kumar","1","42.51","42.51","4334 days"
"Christy Lal","3","2988.67","8966.01","4308 days"
"Christy Lal","3","2988.67","8966.01","4308 days"
"Christy Lal","3","2988.67","8966.01","4308 days"
"Jasmine Anderson","1","15.45","15.45","4419 days"
"Jasmine Thomas","3","2566.47","7699.40","4322 days"
"Jasmine Thomas","3","2566.47","7699.40","4322 days"
"Jasmine Thomas","3","2566.47","7699.40","4322 days"
"Jasmine Jackson","3","1849.35","5548.06","4455 days"
"Jasmine Jackson","3","1849.35","5548.06","4455 days"
"Jasmine Jackson","3","1849.35","5548.06","4455 days"
"Jasmine White","3","1863.52","5590.56","4430 days"
"Jasmine White","3","1863.52","5590.56","4430 days"
"Jasmine White","3","1863.52","5590.56","4430 days"
"Christy Shan","3","1853.87","5561.62","4374 days"
"Christy Shan","3","1853.87","5561.62","4374 days"
"Christy Shan","3","1853.87","5561.62","4374 days"
"Christy Jai","1","37.55","37.55","4481 days"
"Christy Pal","1","59.66","59.66","4432 days"
"Jasmine Harris","2","2439.31","4878.62","4482 days"
"Jasmine Harris","2","2439.31","4878.62","4482 days"
"Jill Martin","1","59.66","59.66","4348 days"
"Christy Andersen","1","38.09","38.09","4458 days"
"Jasmine Thompson","2","2455.35","4910.70","4494 days"
"Jasmine Thompson","2","2455.35","4910.70","4494 days"
"Jasmine Garcia","2","2466.40","4932.80","4487 days"
"Jasmine Garcia","2","2466.40","4932.80","4487 days"
"Marshall Yuan","1","42.51","42.51","4306 days"
"Christy Raje","4","2729.34","10917.36","4238 days"
"Christy Raje","4","2729.34","10917.36","4238 days"
"Christy Raje","4","2729.34","10917.36","4238 days"
"Christy Raje","4","2729.34","10917.36","4238 days"
"Jill Martinez","4","1986.17","7944.67","4274 days"
"Jill Martinez","4","1986.17","7944.67","4274 days"
"Jill Martinez","4","1986.17","7944.67","4274 days"
"Jill Martinez","4","1986.17","7944.67","4274 days"
"Jasmine Robinson","4","1986.73","7946.91","4264 days"
"Jasmine Robinson","4","1986.73","7946.91","4264 days"
"Jasmine Robinson","4","1986.73","7946.91","4264 days"
"Jasmine Robinson","4","1986.73","7946.91","4264 days"
"Christy Chande","1","15.45","15.45","4294 days"
"Christy Chander","3","1815.17","5445.50","4397 days"
"Christy Chander","3","1815.17","5445.50","4397 days"
"Christy Chander","3","1815.17","5445.50","4397 days"
"Jasmine Clark","7","1775.65","12429.55","4173 days"
"Jasmine Clark","7","1775.65","12429.55","4173 days"
"Jasmine Clark","7","1775.65","12429.55","4173 days"
"Jasmine Clark","7","1775.65","12429.55","4173 days"
"Jasmine Clark","7","1775.65","12429.55","4173 days"
"Jasmine Clark","7","1775.65","12429.55","4173 days"
"Jasmine Clark","7","1775.65","12429.55","4173 days"
"Jasmine Rodriguez","1","44.18","44.18","4171 days"
"Christy Nara","2","128.04","256.08","4344 days"
"Christy Nara","2","128.04","256.08","4344 days"
"Christy Rai","7","1768.12","12376.85","4189 days"
"Christy Rai","7","1768.12","12376.85","4189 days"
"Christy Rai","7","1768.12","12376.85","4189 days"
"Christy Rai","7","1768.12","12376.85","4189 days"
"Christy Rai","7","1768.12","12376.85","4189 days"
"Christy Rai","7","1768.12","12376.85","4189 days"
"Christy Rai","7","1768.12","12376.85","4189 days"
"Christy Nath","4","2701.74","10806.94","4240 days"
"Christy Nath","4","2701.74","10806.94","4240 days"
"Christy Nath","4","2701.74","10806.94","4240 days"
"Christy Nath","4","2701.74","10806.94","4240 days"
"Christy Goel","4","1954.54","7818.17","4215 days"
"Christy Goel","4","1954.54","7818.17","4215 days"
"Christy Goel","4","1954.54","7818.17","4215 days"
"Christy Goel","4","1954.54","7818.17","4215 days"
"Jasmine Lewis","4","2736.25","10944.99","4229 days"
"Jasmine Lewis","4","2736.25","10944.99","4229 days"
"Jasmine Lewis","4","2736.25","10944.99","4229 days"
"Jasmine Lewis","4","2736.25","10944.99","4229 days"
"Christy Beck","1","48.60","48.60","4411 days"
"Jasmine Lee","6","1939.02","11634.13","4167 days"
"Jasmine Lee","6","1939.02","11634.13","4167 days"
"Jasmine Lee","6","1939.02","11634.13","4167 days"
"Jasmine Lee","6","1939.02","11634.13","4167 days"
"Jasmine Lee","6","1939.02","11634.13","4167 days"
"Jasmine Lee","6","1939.02","11634.13","4167 days"
"Jasmine Walker","1","38.66","38.66","4423 days"
"Jasmine Hall","4","2739.84","10959.38","4229 days"
"Jasmine Hall","4","2739.84","10959.38","4229 days"
"Jasmine Hall","4","2739.84","10959.38","4229 days"
"Jasmine Hall","4","2739.84","10959.38","4229 days"
"Christy Raji","4","2749.86","10999.46","4227 days"
"Christy Raji","4","2749.86","10999.46","4227 days"
"Christy Raji","4","2749.86","10999.46","4227 days"
"Christy Raji","4","2749.86","10999.46","4227 days"
"Marshall Kumar","6","1927.93","11567.56","4164 days"
"Marshall Kumar","6","1927.93","11567.56","4164 days"
"Marshall Kumar","6","1927.93","11567.56","4164 days"
"Marshall Kumar","6","1927.93","11567.56","4164 days"
"Marshall Kumar","6","1927.93","11567.56","4164 days"
"Marshall Kumar","6","1927.93","11567.56","4164 days"
"Jenny Zhang","1","93.90","93.90","4444 days"
"Jenny Wagner","4","2738.46","10953.84","4249 days"
"Jenny Wagner","4","2738.46","10953.84","4249 days"
"Jenny Wagner","4","2738.46","10953.84","4249 days"
"Jenny Wagner","4","2738.46","10953.84","4249 days"
"Nicole Williams","6","1718.31","10309.87","4163 days"
"Nicole Williams","6","1718.31","10309.87","4163 days"
"Nicole Williams","6","1718.31","10309.87","4163 days"
"Nicole Williams","6","1718.31","10309.87","4163 days"
"Nicole Williams","6","1718.31","10309.87","4163 days"
"Nicole Williams","6","1718.31","10309.87","4163 days"
"Jenny Chen","6","2377.53","14265.18","4265 days"
"Jenny Chen","6","2377.53","14265.18","4265 days"
"Jenny Chen","6","2377.53","14265.18","4265 days"
"Jenny Chen","6","2377.53","14265.18","4265 days"
"Jenny Chen","6","2377.53","14265.18","4265 days"
"Jenny Chen","6","2377.53","14265.18","4265 days"
"Nicole Jones","2","38.93","77.86","4326 days"
"Nicole Jones","2","38.93","77.86","4326 days"
"Nicole Brown","1","38.66","38.66","4153 days"
"Jenny Li","2","45.17","90.34","4352 days"
"Jenny Li","2","45.17","90.34","4352 days"
"Nicole Davis","1","59.66","59.66","4169 days"
"Jenny Liu","1","38.66","38.66","4486 days"
"Jenny Yang","6","2300.09","13800.53","4229 days"
"Jenny Yang","6","2300.09","13800.53","4229 days"
"Jenny Yang","6","2300.09","13800.53","4229 days"
"Jenny Yang","6","2300.09","13800.53","4229 days"
"Jenny Yang","6","2300.09","13800.53","4229 days"
"Jenny Yang","6","2300.09","13800.53","4229 days"
"Nicole Miller","1","86.72","86.72","4436 days"
"Nicole Wilson","1","48.60","48.60","4149 days"
"Nicole Moore","1","38.66","38.66","4250 days"
"Nicole Taylor","3","3033.23","9099.68","4248 days"
"Nicole Taylor","3","3033.23","9099.68","4248 days"
"Nicole Taylor","3","3033.23","9099.68","4248 days"
"Jenny Huang","3","2996.77","8990.30","4369 days"
"Jenny Huang","3","2996.77","8990.30","4369 days"
"Jenny Huang","3","2996.77","8990.30","4369 days"
"Nicole Anderson","3","2982.77","8948.32","4343 days"
"Nicole Anderson","3","2982.77","8948.32","4343 days"
"Nicole Anderson","3","2982.77","8948.32","4343 days"
"Jenny Wu","3","3033.97","9101.90","4350 days"
"Jenny Wu","3","3033.97","9101.90","4350 days"
"Jenny Wu","3","3033.97","9101.90","4350 days"
"Jenny Lin","3","2975.40","8926.21","4371 days"
"Jenny Lin","3","2975.40","8926.21","4371 days"
"Jenny Lin","3","2975.40","8926.21","4371 days"
"Nicole Thomas","3","2995.29","8985.87","4350 days"
"Nicole Thomas","3","2995.29","8985.87","4350 days"
"Nicole Thomas","3","2995.29","8985.87","4350 days"
"Jenny Zhou","3","2994.67","8984.00","4347 days"
"Jenny Zhou","3","2994.67","8984.00","4347 days"
"Jenny Zhou","3","2994.67","8984.00","4347 days"
"Marshall Lal","3","3010.48","9031.45","4354 days"
"Marshall Lal","3","3010.48","9031.45","4354 days"
"Marshall Lal","3","3010.48","9031.45","4354 days"
"Jenny Ye","3","3038.56","9115.69","4366 days"
"Jenny Ye","3","3038.56","9115.69","4366 days"
"Jenny Ye","3","3038.56","9115.69","4366 days"
"Nicole Jackson","3","3014.09","9042.26","4359 days"
"Nicole Jackson","3","3014.09","9042.26","4359 days"
"Nicole Jackson","3","3014.09","9042.26","4359 days"
"Nicole White","3","3011.85","9035.56","4352 days"
"Nicole White","3","3011.85","9035.56","4352 days"
"Nicole White","3","3011.85","9035.56","4352 days"
"Nicole Harris","3","2979.46","8938.39","4353 days"
"Nicole Harris","3","2979.46","8938.39","4353 days"
"Nicole Harris","3","2979.46","8938.39","4353 days"
"Jenny Lu","3","2998.98","8996.94","4371 days"
"Jenny Lu","3","2998.98","8996.94","4371 days"
"Jenny Lu","3","2998.98","8996.94","4371 days"
"Jenny Xu","3","3029.34","9088.03","4371 days"
"Jenny Xu","3","3029.34","9088.03","4371 days"
"Jenny Xu","3","3029.34","9088.03","4371 days"
"Jenny Sun","3","3024.56","9073.69","4370 days"
"Jenny Sun","3","3024.56","9073.69","4370 days"
"Jenny Sun","3","3024.56","9073.69","4370 days"
"Nicole Martin","3","35.69","107.06","4139 days"
"Nicole Martin","3","35.69","107.06","4139 days"
"Nicole Martin","3","35.69","107.06","4139 days"
"Jenny Zhu","3","2998.72","8996.17","4353 days"
"Jenny Zhu","3","2998.72","8996.17","4353 days"
"Jenny Zhu","3","2998.72","8996.17","4353 days"
"Nicole Thompson","3","2997.32","8991.96","4361 days"
"Nicole Thompson","3","2997.32","8991.96","4361 days"
"Nicole Thompson","3","2997.32","8991.96","4361 days"
"Jenny McDonald","3","2979.46","8938.39","4320 days"
"Jenny McDonald","3","2979.46","8938.39","4320 days"
"Jenny McDonald","3","2979.46","8938.39","4320 days"
"Jenny Liang","3","2989.51","8968.54","4316 days"
"Jenny Liang","3","2989.51","8968.54","4316 days"
"Jenny Liang","3","2989.51","8968.54","4316 days"
"Nicole Martinez","3","17.65","52.95","4175 days"
"Nicole Martinez","3","17.65","52.95","4175 days"
"Nicole Martinez","3","17.65","52.95","4175 days"
"Jenny Guo","3","2994.00","8982.00","4340 days"
"Jenny Guo","3","2994.00","8982.00","4340 days"
"Jenny Guo","3","2994.00","8982.00","4340 days"
"Nicole Robinson","3","3004.88","9014.63","4328 days"
"Nicole Robinson","3","3004.88","9014.63","4328 days"
"Nicole Robinson","3","3004.88","9014.63","4328 days"
"Nicole Clark","3","33.22","99.66","4289 days"
"Nicole Clark","3","33.22","99.66","4289 days"
"Nicole Clark","3","33.22","99.66","4289 days"
"Nicole Rodriguez","3","20.58","61.74","4155 days"
"Nicole Rodriguez","3","20.58","61.74","4155 days"
"Nicole Rodriguez","3","20.58","61.74","4155 days"
"Jenny He","3","2563.53","7690.60","4289 days"
"Jenny He","3","2563.53","7690.60","4289 days"
"Jenny He","3","2563.53","7690.60","4289 days"
"Nicole Lewis","1","28.16","28.16","4301 days"
"Jenny Zheng","2","2400.11","4800.22","4470 days"
"Jenny Zheng","2","2400.11","4800.22","4470 days"
"Nicole Lee","1","59.66","59.66","4385 days"
"Jenny Hu","3","3007.74","9023.23","4223 days"
"Jenny Hu","3","3007.74","9023.23","4223 days"
"Jenny Hu","3","3007.74","9023.23","4223 days"
"Jenny Cai","1","69.59","69.59","4369 days"
"Nicole Walker","1","55.22","55.22","4253 days"
"Nicole Hall","1","76.75","76.75","4409 days"
"Jenny Zeng","1","59.66","59.66","4217 days"
"Destiny Smith","1","38.66","38.66","4254 days"
"Jenny She","1","59.66","59.66","4413 days"
"Destiny Johnson","3","1830.84","5492.52","4378 days"
"Destiny Johnson","3","1830.84","5492.52","4378 days"
"Destiny Johnson","3","1830.84","5492.52","4378 days"
"Destiny Williams","3","1817.86","5453.57","4316 days"
"Destiny Williams","3","1817.86","5453.57","4316 days"
"Destiny Williams","3","1817.86","5453.57","4316 days"
"Destiny Jones","3","1833.58","5500.74","4411 days"
"Destiny Jones","3","1833.58","5500.74","4411 days"
"Destiny Jones","3","1833.58","5500.74","4411 days"
"Destiny Brown","3","2999.35","8998.05","4269 days"
"Destiny Brown","3","2999.35","8998.05","4269 days"
"Destiny Brown","3","2999.35","8998.05","4269 days"
"Jenny Shen","3","1829.29","5487.86","4322 days"
"Jenny Shen","3","1829.29","5487.86","4322 days"
"Jenny Shen","3","1829.29","5487.86","4322 days"
"Destiny Davis","3","1836.28","5508.84","4433 days"
"Destiny Davis","3","1836.28","5508.84","4433 days"
"Destiny Davis","3","1836.28","5508.84","4433 days"
"Destiny Miller","3","2596.12","7788.37","4267 days"
"Destiny Miller","3","2596.12","7788.37","4267 days"
"Destiny Miller","3","2596.12","7788.37","4267 days"
"Jenny Tang","1","38.66","38.66","4194 days"
"Marshall Shan","1","59.66","59.66","4173 days"
"Jenny Xu","3","2979.94","8939.81","4280 days"
"Jenny Xu","3","2979.94","8939.81","4280 days"
"Jenny Xu","3","2979.94","8939.81","4280 days"
"Destiny Wilson","3","2993.63","8980.90","4251 days"
"Destiny Wilson","3","2993.63","8980.90","4251 days"
"Destiny Wilson","3","2993.63","8980.90","4251 days"
"Destiny Moore","1","59.66","59.66","4428 days"
"Jenny Luo","3","3004.87","9014.60","4272 days"
"Jenny Luo","3","3004.87","9014.60","4272 days"
"Jenny Luo","3","3004.87","9014.60","4272 days"
"Destiny Taylor","2","2433.25","4866.51","4472 days"
"Destiny Taylor","2","2433.25","4866.51","4472 days"
"Jenny Zimmerman","3","2563.16","7689.47","4267 days"
"Jenny Zimmerman","3","2563.16","7689.47","4267 days"
"Jenny Zimmerman","3","2563.16","7689.47","4267 days"
"Destiny Anderson","3","2568.69","7706.06","4249 days"
"Destiny Anderson","3","2568.69","7706.06","4249 days"
"Destiny Anderson","3","2568.69","7706.06","4249 days"
"Jenny Kumar","1","15.45","15.45","4223 days"
"Destiny Jackson","3","2583.41","7750.24","4213 days"
"Destiny Jackson","3","2583.41","7750.24","4213 days"
"Destiny Jackson","3","2583.41","7750.24","4213 days"
"Jenny Lal","1","38.66","38.66","4214 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Jenny Shan","16","38.78","620.49","4148 days"
"Destiny White","2","106.20","212.39","4342 days"
"Destiny White","2","106.20","212.39","4342 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Harris","16","45.19","722.97","4147 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Destiny Martin","16","60.24","963.84","4135 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Jenny Pal","16","70.88","1134.05","4130 days"
"Destiny Thompson","2","34.13","68.27","4180 days"
"Destiny Thompson","2","34.13","68.27","4180 days"
"Jenny Andersen","2","24.62","49.25","4399 days"
"Jenny Andersen","2","24.62","49.25","4399 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Destiny Garcia","16","58.48","935.68","4164 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Carol Martinez","16","51.70","827.20","4135 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Marshall Jai","16","45.10","721.63","4137 days"
"Jenny Raje","2","42.69","85.38","4388 days"
"Jenny Raje","2","42.69","85.38","4388 days"
"Carol Robinson","1","216.90","216.90","4312 days"
"Destiny Clark","5","57.05","285.26","4162 days"
"Destiny Clark","5","57.05","285.26","4162 days"
"Destiny Clark","5","57.05","285.26","4162 days"
"Destiny Clark","5","57.05","285.26","4162 days"
"Destiny Clark","5","57.05","285.26","4162 days"
"Jenny Chande","1","38.68","38.68","4450 days"
"Destiny Rodriguez","1","2563.59","2563.59","4160 days"
"Jenny Chander","1","954.66","954.66","4363 days"
"Jenny Nara","1","44.19","44.19","4347 days"
"Destiny Lewis","2","3276.45","6552.90","4412 days"
"Destiny Lewis","2","3276.45","6552.90","4412 days"
"Jenny Rai","2","3268.34","6536.67","4355 days"
"Jenny Rai","2","3268.34","6536.67","4355 days"
"Destiny Lee","2","56.22","112.44","4287 days"
"Destiny Lee","2","56.22","112.44","4287 days"
"Destiny Walker","2","45.42","90.83","4207 days"
"Destiny Walker","2","45.42","90.83","4207 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Jenny Nath","16","52.30","836.78","4146 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Destiny Hall","16","56.84","909.38","4138 days"
"Alyssa Smith","2","24.62","49.25","4211 days"
"Alyssa Smith","2","24.62","49.25","4211 days"
"Jenny Goel","2","3253.25","6506.51","4490 days"
"Jenny Goel","2","3253.25","6506.51","4490 days"
"Alyssa Johnson","1","2626.54","2626.54","4476 days"
"Alyssa Jones","2","23.36","46.72","4232 days"
"Alyssa Jones","2","23.36","46.72","4232 days"
"Alyssa Brown","2","3279.39","6558.78","4469 days"
"Alyssa Brown","2","3279.39","6558.78","4469 days"
"Alyssa Davis","1","2626.54","2626.54","4488 days"
"Jenny Becker","2","21.87","43.74","4217 days"
"Jenny Becker","2","21.87","43.74","4217 days"
"Alyssa Miller","2","3292.74","6585.48","4472 days"
"Alyssa Miller","2","3292.74","6585.48","4472 days"
"Alyssa Wilson","2","3284.18","6568.35","4487 days"
"Alyssa Wilson","2","3284.18","6568.35","4487 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Raji","16","39.63","634.05","4158 days"
"Jenny Ferrier","2","3246.24","6492.48","4483 days"
"Jenny Ferrier","2","3246.24","6492.48","4483 days"
"Alyssa Moore","2","24.62","49.25","4161 days"
"Alyssa Moore","2","24.62","49.25","4161 days"
"Alyssa Taylor","2","20.60","41.21","4147 days"
"Alyssa Taylor","2","20.60","41.21","4147 days"
"Barbara Zhang","2","3270.65","6541.30","4477 days"
"Barbara Zhang","2","3270.65","6541.30","4477 days"
"Alyssa Ashe","2","3270.36","6540.73","4448 days"
"Alyssa Ashe","2","3270.36","6540.73","4448 days"
"Barbara Wang","2","3268.34","6536.67","4442 days"
"Barbara Wang","2","3268.34","6536.67","4442 days"
"Barbara Chen","2","3244.98","6489.95","4439 days"
"Barbara Chen","2","3244.98","6489.95","4439 days"
"Barbara Li","2","3257.12","6514.24","4462 days"
"Barbara Li","2","3257.12","6514.24","4462 days"
"Alyssa Thomas","2","3313.75","6627.49","4438 days"
"Alyssa Thomas","2","3313.75","6627.49","4438 days"
"Alyssa Jackson","2","3291.89","6583.79","4442 days"
"Alyssa Jackson","2","3291.89","6583.79","4442 days"
"Alyssa White","2","3300.22","6600.43","4419 days"
"Alyssa White","2","3300.22","6600.43","4419 days"
"Alyssa Harris","1","38.09","38.09","4391 days"
"Alyssa Martin","1","59.66","59.66","4167 days"
"Barbara Liu","1","98.32","98.32","4282 days"
"Alyssa Thompson","1","59.66","59.66","4328 days"
"Barbara Huang","2","2464.36","4928.72","4451 days"
"Barbara Huang","2","2464.36","4928.72","4451 days"
"Barbara Wu","3","1832.97","5498.90","4313 days"
"Barbara Wu","3","1832.97","5498.90","4313 days"
"Barbara Wu","3","1832.97","5498.90","4313 days"
"Barbara Lin","3","2603.48","7810.44","4207 days"
"Barbara Lin","3","2603.48","7810.44","4207 days"
"Barbara Lin","3","2603.48","7810.44","4207 days"
"Alyssa Garcia","3","2587.09","7761.27","4176 days"
"Alyssa Garcia","3","2587.09","7761.27","4176 days"
"Alyssa Garcia","3","2587.09","7761.27","4176 days"
"Barbara Zhou","3","1930.59","5791.78","4447 days"
"Barbara Zhou","3","1930.59","5791.78","4447 days"
"Barbara Zhou","3","1930.59","5791.78","4447 days"
"Alyssa Martinez","1","59.66","59.66","4462 days"
"Alyssa Robinson","1","38.66","38.66","4151 days"
"Marshall Andersen","1","23.75","23.75","4288 days"
"Barbara Ye","1","38.66","38.66","4394 days"
"Alyssa Clark","1","38.66","38.66","4394 days"
"Barbara Zhao","1","23.75","23.75","4167 days"
"Alyssa Rodriguez","1","23.75","23.75","4302 days"
"Barbara Lu","1","23.75","23.75","4188 days"
"Alyssa Lewis","1","38.66","38.66","4189 days"
